date,merchant,category,amount,payment_mode,month,month_num
2024-01-01,NPTEL,Education,1492.53,UPI,January,1
2024-01-01,Subway,Food & Dining,599.44,Cash,January,1
2024-01-02,Nykaa,Shopping,3050.29,UPI,January,1
2024-01-03,Steam,Entertainment,421.29,Net Banking,January,1
2024-01-03,Airtel,Utilities,618.84,Credit Card,January,1
2024-01-04,1mg,Health,1062.3,UPI,January,1
2024-01-04,KFC,Food & Dining,94.16,UPI,January,1
2024-01-04,Lakme,Personal Care,1149.93,Net Banking,January,1
2024-01-04,Uber,Transport,834.69,UPI,January,1
2024-01-05,Domino's,Food & Dining,653.81,UPI,January,1
2024-01-05,Blinkit,Groceries,724.46,Net Banking,January,1
2024-01-07,Coursera,Education,657.73,Cash,January,1
2024-01-07,Subway,Food & Dining,322.98,Net Banking,January,1
2024-01-07,Amazon,Shopping,2028.18,UPI,January,1
2024-01-07,1mg,Health,949.81,Debit Card,January,1
2024-01-08,Unacademy,Education,2637.61,Cash,January,1
2024-01-08,Apollo Pharmacy,Health,873.28,Debit Card,January,1
2024-01-09,Domino's,Food & Dining,358.5,UPI,January,1
2024-01-10,Subway,Food & Dining,76.87,Credit Card,January,1
2024-01-10,Domino's,Food & Dining,66.6,Cash,January,1
2024-01-11,McDonald's,Food & Dining,232.68,UPI,January,1
2024-01-11,Mamaearth,Personal Care,1217.88,Credit Card,January,1
2024-01-11,Myntra,Shopping,4363.37,Cash,January,1
2024-01-12,Swiggy,Food & Dining,480.11,UPI,January,1
2024-01-13,YouTube Premium,Entertainment,295.8,Credit Card,January,1
2024-01-14,Salon,Personal Care,1419.02,UPI,January,1
2024-01-15,McDonald's,Food & Dining,695.28,UPI,January,1
2024-01-16,Meesho,Shopping,1255.36,Debit Card,January,1
2024-01-17,BigBasket,Groceries,1076.9,UPI,January,1
2024-01-17,Myntra,Shopping,3582.24,UPI,January,1
2024-01-17,Subway,Food & Dining,193.71,UPI,January,1
2024-01-18,YouTube Premium,Entertainment,246.47,UPI,January,1
2024-01-18,Rapido,Transport,335.52,UPI,January,1
2024-01-18,ATM Withdrawal,Miscellaneous,1601.07,Cash,January,1
2024-01-19,Ola,Transport,955.6,Net Banking,January,1
2024-01-20,Blinkit,Groceries,479.19,Net Banking,January,1
2024-01-20,McDonald's,Food & Dining,652.97,Credit Card,January,1
2024-01-20,Swiggy,Food & Dining,501.25,UPI,January,1
2024-01-21,Blinkit,Groceries,1395.93,Credit Card,January,1
2024-01-21,1mg,Health,732.23,Credit Card,January,1
2024-01-21,Meesho,Shopping,1468.35,UPI,January,1
2024-01-22,Indian Railways,Transport,803.98,UPI,January,1
2024-01-22,Ajio,Shopping,4621.58,Net Banking,January,1
2024-01-22,Meesho,Shopping,3328.82,UPI,January,1
2024-01-22,Jio Recharge,Utilities,189.35,Net Banking,January,1
2024-01-22,Cult.fit,Health,842.21,Cash,January,1
2024-01-22,Nykaa,Personal Care,318.54,Credit Card,January,1
2024-01-22,NPTEL,Education,2740.63,UPI,January,1
2024-01-22,PharmEasy,Health,417.3,Credit Card,January,1
2024-01-22,Steam,Entertainment,512.04,UPI,January,1
2024-01-23,Flipkart,Shopping,2790.85,Debit Card,January,1
2024-01-24,Bank Charges,Miscellaneous,2122.51,UPI,January,1
2024-01-24,Nykaa,Personal Care,1325.33,Net Banking,January,1
2024-01-25,Blinkit,Groceries,1292.15,Debit Card,January,1
2024-01-25,DMart,Groceries,619.11,Debit Card,January,1
2024-01-26,JioMart,Groceries,1682.39,Net Banking,January,1
2024-01-26,RedBus,Transport,1062.34,Credit Card,January,1
2024-01-26,RedBus,Transport,1012.63,UPI,January,1
2024-01-26,Meesho,Shopping,3287.92,UPI,January,1
2024-01-27,Bank Charges,Miscellaneous,750.24,UPI,January,1
2024-01-27,McDonald's,Food & Dining,588.02,UPI,January,1
2024-01-28,Swiggy,Food & Dining,679.01,UPI,January,1
2024-01-28,Airtel,Utilities,644.38,UPI,January,1
2024-01-28,Swiggy,Food & Dining,780.8,UPI,January,1
